Ticket,Title,Phase,Sprint,Status,Revenue Impact,Effort,Audit Verdict,Problem,Acceptance Criteria,Native vs App,Suggested App,Complexity,Dependencies,Benchmark
MAG-001,Restore or retire Beach Body Igniter Stack,Phase 0 - Stop the Bleed,Sprint 0,Not started,High,Low,IMPROVE/FIX,"Bundle PDP renders every variant as sold out/unavailable with ATC disabled, while advertising -30% ($179.97 to $125.98). Highest-AOV page converts at zero.","Bundle ATC enabled with at least one purchasable combination; discount shown as savings vs component sum not bare -30%; if not restockable short-term, unpublish and 301 to /collections/stacks-bundles",Native or app,Shopify Bundles (free) or rebuild via Rebuy,Low-Med,None,BPN / TL stacks
MAG-002,Back-in-stock capture on sold-out variants,Phase 0 - Stop the Bleed,Sprint 0,Not started,High,Low,ADD,"Quattro 3/5 flavors and Limitless 1/4 sold out with no recapture; sold-out swatches dead-end.","Selecting a sold-out flavor swaps ATC for 'Notify me when back' email capture; captured emails sync to Klaviyo with product + variant tags",App,Back in Stock / Restock Rocket or Klaviyo Back-in-Stock,Low,MAG-013,Standard
MAG-003,Default to Subscribe & Save + flexibility copy,Phase 1 - Quick Wins,Sprint 1,Not started,High,Low,IMPROVE,"PDP defaults to One-time purchase; 15% subscription is an unframed radio. Ghost/PVL/TL all default ON.","Selling-plan group renders with subscribe pre-selected; microcopy: $XX.XX/order, 15% off every order, cancel/pause/skip anytime; one-time stays one click away",App,ReCharge or Seal Subscriptions,Low,None,"Transparent Labs, Ghost, PVL"
MAG-004,Trust strip under Add-to-Cart,Phase 1 - Quick Wins,Sprint 1,Not started,High,Low,ADD,"No guarantee, testing badge, or risk reversal near CTA; only audited brand showing none of guarantee/third-party/per-serving.","Theme block below ATC: satisfaction guarantee + free-ship threshold + Kosher/gluten-free/dye-free badges; reusable across PDPs via section setting",Native,None,Low,None,"1st Phorm, BPN"
MAG-005,Per-serving cost framing at price,Phase 1 - Quick Wins,Sprint 1,Not started,Med,Low,ADD,"No 'as low as $X/serving' line; $69.99 Quattro has no value anchor vs cheaper whey.","Price block shows 'as low as $X.XX/serving' from servings metafield / price; uses subscription price when subscribe is selected",Native,None (servings metafield),Low,None,Transparent Labs
MAG-006,Enrich sticky Add-to-Cart bar,Phase 1 - Quick Wins,Sprint 1,Not started,Med,Low,IMPROVE,"Mobile sticky bar shows only 'Add to cart' - no thumbnail, price, or selected variant; forces scroll-up to confirm.","Sticky bar carries featured image + product title + live price + selected flavor/size; price updates on variant/subscription change",Native,None,Low,None,"Ghost, Transparent Labs"
MAG-007,Outcome-led benefit bullets above the fold,Phase 1 - Quick Wins,Sprint 1,Not started,Med,Low,IMPROVE,"Strongest differentiator (zero bloat, lactose-friendly) is buried in a feature list.","3-4 icon bullets below ATF (e.g. Zero gas/bloating, 30g 4-source protein, Lactose-friendly, Kosher & gluten-free); pre-workout gets its own set; editable per product",Native,None,Low,None,PVL
MAG-008,Complete Your Stack with real bundle discount,Phase 2 - AOV Mechanics,Sprint 2,Not started,High,Med,IMPROVE,"Cross-sell row exists (Quattro to Primer/Limitless/Nektr w/ ratings + ATC) but is unframed with no incentive.","Row reframed as 'Complete Your Stack - save X%' with automatic discount when 2+ items added together; pre-curated stack per hero product",App,Rebuy or Shopify Bundles + automatic discount,Med,MAG-001,"BPN, TL, Ghost"
MAG-009,Review volume + photo/UGC + Q&A program,Phase 2 - AOV Mechanics,Sprint 2,Not started,High,Med,IMPROVE,"Quattro 43 / Limitless 15 reviews - an order of magnitude behind TL (4,965) and 1st Phorm (37,340). No UGC photos or Q&A.","Post-purchase review-request flow with photo incentive; widget shows star breakdown, filters, verified-buyer tag, photo UGC, Q&A block; migrate existing reviews",App,Okendo or Loox or Judge.me,Med,MAG-013,"1st Phorm, Transparent Labs"
MAG-010,Ingredient callout cards + structured facts,Phase 2 - AOV Mechanics,Sprint 2,Not started,Med,Med,IMPROVE,"Supplement facts served as flat images (13 detected); no clinically-dosed callouts, no third-party signal.","2-3 callout cards above facts image (ingredient, dose, why); badge any third-party/Kosher/GMP testing; render facts as accessible text/table where feasible w/ image fallback",Native,None (metafields + theme),Med,None,"Transparent Labs, BPN"
MAG-011,In-gallery product video,Phase 3 - Content,Sprint 3,Not started,Med,Low-Med,ADD,"Zero video on any Magnum PDP; TL (2 videos), HD Muscle, and 1st Phorm all embed it. Mixability is a top protein objection.","One 10-15s mixability/lifestyle clip as gallery slide 2 on Quattro and Limitless via native Shopify product media",Native,None,Low-Med,Video production,"Transparent Labs, HD Muscle"
MAG-012,Premium education block + product FAQ,Phase 3 - Content,Sprint 3,Not started,Med,Med,IMPROVE,"Accordions are functional but light on 'why it works'; doesn't justify premium price vs cheaper whey.","'Why 4-source protein digests better' explainer on Quattro; mechanism explainer on Limitless; product-specific FAQ accordion (mixability, lactose, timing, stacking) distinct from generic site FAQ",Native,None (metaobjects/metafields + theme),Med,Copy production,"1st Phorm, HD Muscle"
MAG-013,Klaviyo wiring (enabler),Cross-cutting,Sprint 0,Not started,Enabler,Low,ADD,"Prerequisite for back-in-stock, review-request, and post-purchase flows.","Klaviyo installed/confirmed and connected to Shopify; flows available for MAG-002 and MAG-009",App,Klaviyo,Low,None,Standard
MAG-014,Build Phase 1 changes as reusable section/metafield blocks,Cross-cutting,Sprint 1,Not started,Enabler,Low,IMPROVE,"Phase 1 wins (trust strip, per-serving, benefit bullets, sticky bar, subscription default) must apply catalog-wide, not hardcoded on Quattro/Limitless.","Each Phase 1 block is section/metafield-driven and rolls to all PDPs; no per-product hardcoding",Native,None,Low (baked into each ticket),"MAG-003, MAG-004, MAG-005, MAG-006, MAG-007",Standard
